f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
12347,-0.48,0.18,9.77,9.83,-32.83,19.83,22.00,-31.00,2.00,35.70,101280,-1.47
12369,-0.53,0.13,9.82,9.67,-32.83,19.33,23.00,-31.00,2.00,35.70,101284,-1.83
12393,-0.57,0.18,9.82,9.67,-32.50,19.83,22.00,-31.00,1.00,35.70,101284,-1.83
12416,-0.48,0.13,9.77,10.00,-32.67,19.50,22.00,-30.00,2.00,35.70,101267,-0.31
12439,-0.48,0.18,9.82,10.17,-32.83,19.50,22.00,-31.00,2.00,35.70,101277,-1.20
12478,-0.53,0.13,9.82,9.67,-33.33,19.67,22.00,-31.00,1.00,35.70,101277,-1.20
12502,-0.48,0.22,9.82,9.50,-33.00,19.33,23.00,-29.00,3.00,35.70,101280,-1.47
12524,-0.53,0.22,9.91,9.83,-32.50,19.67,22.00,-33.00,3.00,35.70,101264,-0.04
12548,-0.57,0.26,9.86,9.83,-33.17,19.67,22.00,-30.00,2.00,35.70,101271,-0.66
12570,-0.48,0.18,9.95,9.50,-32.67,19.67,22.00,-32.00,2.00,35.70,101280,-1.47
12594,-0.53,0.18,9.82,9.67,-32.67,19.83,23.00,-31.00,3.00,35.70,101274,-0.93
12620,-0.48,0.13,9.82,9.67,-32.67,19.67,21.00,-29.00,3.00,35.70,101271,-0.66
12643,-0.44,0.09,9.86,9.83,-33.00,19.50,23.00,-31.00,3.00,35.70,101271,-0.66
12666,-0.48,0.13,9.73,9.17,-32.67,19.67,22.00,-31.00,3.00,35.70,101271,-0.66
12689,-0.53,0.22,9.82,9.50,-33.00,20.00,22.00,-31.00,2.00,35.70,101277,-1.20
12712,-0.53,0.22,9.73,9.67,-32.67,19.67,22.00,-31.00,3.00,35.70,101277,-1.20
12735,-0.57,0.26,9.82,9.67,-33.00,20.00,22.00,-30.00,3.00,35.70,101284,-1.83
12759,-0.48,0.18,9.91,10.00,-32.83,19.67,22.00,-31.00,2.00,35.70,101280,-1.47
12785,-0.44,0.22,9.86,9.83,-32.50,19.50,21.00,-31.00,2.00,35.70,101287,-2.10
12808,-0.48,0.18,9.86,9.67,-33.17,19.50,21.00,-30.00,3.00,35.70,101277,-1.20
12831,-0.53,0.13,9.95,9.83,-32.67,20.00,21.00,-30.00,2.00,35.70,101280,-1.47
12854,-0.48,0.13,9.86,10.17,-33.17,19.83,21.00,-29.00,2.00,35.70,101274,-0.93
12876,-0.44,0.18,9.86,9.83,-32.67,19.50,22.00,-31.00,2.00,35.70,101277,-1.20
